ACCESS Network,,,,gwenbam@aol.com,
Coastal Catholic Charities,,,,lpicciuto@catholic-doc.org,
Florence Crittenton Programs of SC,,,,amccormick@florencecrittontonsc.org,
Impact Ministries,,impact_MB,https://www.facebook.com/#!/pages/IMPACT-Myrtle-Beach/399398271205,brandon@impactmb.org,www.impactmb.org
Increasing H.O.P.E. Financial Training Center,,,,dorothea@increasinghope.org,
Northwood Baptist Church,,,,radtech112@yahoo.com,http://www.northwoodbaptist.net/
Shalom Recovery Services,,,,shalomrecoveryservices@gmail.com,
Goose Creek United Methodist Church,,,,gram_n_gramps@tds.net,
Sumpter Free Health Clinic,,,,gram_n_gramps@tds.net,
Beaufort Cnty Human Services Alliance,"The mission of the Alliance is to promote and sustain activities that improve the quality of life for all Beaufort County residents by creating coordinated, comprehensive, and integrated systems of services.",,,fleyda@uscb.edu,
Ryan White Program,The Ryan White Program is a  program that helps coordinate comprehensive medical care for people living with HIV/AIDS.,http://www.twitter.com/RyanWhiteRSFH,https://www.facebook.com/pages/The-Ryan-White-Program/54033199321?ref=hl,ella.fleming@rsfh.com,
Southwestern Texas Synod of the ELCA,"Our synod unites the work of congregations Central Texas, serving as regional support and guiding pastoral and other staff candidates through the call process.",,,sbriner@swtsynod.org,
Austin Disaster Relief Network,"Our vision is to serve Christ by establishing a church network in the Greater Austin area that will meet the emotional, physical and spiritual needs of those affected by disaster.",www.twitter.com/adrntx,www.facebook.com/adrntx,director@adrntx.org,www.adrntx.org
Charleston Jewish Family Services,,,,saras@jewishcharleston.org,www.charlestonjcc.org
The Cross Connecting Network,"Connect with trustworthy churches, ministries, or individuals doing good works in difficult places. Connect them with other churches, ministries or individuals that are willing to help. Then we watch what God does...and it is always amazing.",,,jminer@crossconnecting.net,Crossconnecting.net
Dream Center Lane County,"Christian ministry meeting needs of people in the community.We are working on building individuals and their lives, helping to pool resources together from within our community to reach out to the poor and bring freedom from oppression.",,https://www.facebook.com/pages/DreamCenter-LaneCounty-MetroNet-Ministries/168583776498417,dreamcenterlaneco@live.com,www.dreamcenterlanemetro.net
Midland Park Community Ministries,"Faith-based organization that provides emergency need such as food, clothing, and limited financial assistance",@midlandpark2013,midlandparkministries,tbrown@mpmcenter.org,midlandparkministries.com
Harvest Covenant Faith Ministry,Outreach and field work to the Hispanic community,,,dianepyatt@yahoo.com,
Home Education Learning Partnership (HELP),,,,anita@helpresources.org,www.helpresources.org
Restoration Community Church,,,,adam@restorationcommunitychurch.net,www.restorationcommunitychurch.net
Celebration Station,Church in the inner city of North Charleston that caters to needy people. We provide food for homeless and others. We also have a men's Christian Retreat and provide GED tutoring program.,,,argonlaser@gmail.com,www.celebrationstationinnercityministries.com
Lowcountry Pregnancy Center,"The Lowcountry Pregnancy Center helps young women and men in unplanned pregnancies. We counsel them on their options and provide assistance in the areas of free pregnancy testing, limited ultrasounds, parenting classes and the distribution of baby items.",,https://www.facebook.com/LowcountryPregnancyCenter,info@lowcountrypregnancycenter.com,www.lowcountrypregnancycenter.com
HALOS,HALOS mission is to provide resources and special opportunities to abused and neglected children and their caregivers through partnerships with faith-based and other community organizations. HALOS provides critical goods and ongoing support services.,,https://facebook.com/charlestonhalos,andrea@charlestonhalos.org,www.charlestonhalos.org
WMU,"Auxiliary to SBC, missions education provider",,facebook.com/NationalWMU,jroberson@wmu.org,www.wmu.com
MUSC Children's Day Treatment Program,"Provides intensive, comprehensive intervention to children and adolescents with severe behavior disturbances using a ""day treatment"" model.",,,plutro@musc.edu,
Lowcountry Community Action Agency,"Provides a vast variety of quality services to disadvantaged, disenfranchised individuals and families.",,,awashington@lowcountrycaa.org,www.lowcountrycaa.org
"Allendale County ALIVE, Inc",,,,swashington@acalive.net,
Royal Foundation,,,,cleobrown@yahoo.com,"www,royalmbc.org/foundation"
